Year,Month,Return,Amount,CPI
2008,10,-8.61%,"12,300,874.37",216.57
2008,11,-0.35%,"12,257,671.57",212.43
2008,12,-1.10%,"12,123,381.84",210.23
2009,1,-6.70%,"11,310,811.39",211.14
2009,2,-5.69%,"10,667,516.18",212.19
2009,3,12.32%,"11,981,940.87",212.71
2009,4,6.66%,"12,779,916.77",213.24
2009,5,2.87%,"13,146,554.82",213.86
2009,6,1.28%,"13,314,520.75",215.69
2009,7,8.12%,"14,395,759.03",215.35
2009,8,3.65%,"14,921,253.65",215.83
2009,9,2.40%,"15,279,827.52",215.97
2009,10,2.09%,"15,599,836.87",216.18
2009,11,2.23%,"15,947,067.03",216.33
2009,12,1.36%,"16,163,463.61",215.95
2010,1,-2.90%,"15,694,969.92",216.69
2010,2,5.94%,"16,627,727.57",216.74
2010,3,4.09%,"17,307,457.47",217.63
2010,4,-5.88%,"16,289,364.18",218.01
2010,5,-3.54%,"15,712,140.12",218.18
2010,6,-0.16%,"15,687,146.35",217.97
2010,7,0.86%,"15,822,622.36",218.01
2010,8,3.37%,"16,356,027.41",218.31
2010,9,4.58%,"17,104,714.18",218.44
2010,10,2.49%,"17,530,777.98",218.71
2010,11,3.71%,"18,181,824.82",218.8
2010,12,3.46%,"18,811,314.71",219.18
2011,1,3.15%,"19,404,033.64",220.22
2011,2,-1.11%,"19,188,171.34",221.31
2011,3,2.22%,"19,614,337.35",223.47
2011,4,0.66%,"19,743,641.89",224.91
2011,5,-3.66%,"19,020,511.23",225.96
2011,6,3.10%,"19,610,477.22",225.72
2011,7,-10.40%,"17,570,860.72",225.92
2011,8,-0.79%,"17,432,183.57",226.55
2011,9,3.02%,"17,958,444.80",226.89
2011,10,1.77%,"18,275,792.51",226.42
2011,11,1.55%,"18,559,935.59",226.23
2011,12,4.78%,"19,447,575.27",225.67
2012,1,4.16%,"20,257,101.72",226.67
2012,2,2.88%,"20,841,283.58",227.66
2012,3,-0.04%,"20,833,320.05",229.39
2012,4,-3.09%,"20,189,372.08",230.09
2012,5,-1.15%,"19,956,707.51",229.82
2012,6,2.92%,"20,539,660.27",229.48
2012,7,3.39%,"21,235,482.50",229.1
2012,8,3.02%,"21,877,041.70",230.38
2012,9,-0.22%,"21,829,539.04",231.41
2012,10,-2.84%,"21,210,127.19",231.32
2012,11,2.18%,"21,671,560.96",230.22
2012,12,4.27%,"22,596,668.20",229.6
2013,1,2.33%,"23,123,853.40",230.28
2013,2,2.72%,"23,753,389.68",232.17
2013,3,1.45%,"24,098,714.42",232.77
2013,4,4.57%,"25,201,054.63",232.53
2013,5,-1.12%,"24,919,363.53",232.95
2013,6,3.25%,"25,730,358.53",233.5
2013,7,0.25%,"25,795,334.96",233.6
2013,8,1.19%,"26,102,935.91",233.88
2013,9,2.12%,"26,655,678.60",234.15
2013,10,3.86%,"27,684,586.21",233.55
2013,11,1.52%,"28,105,851.94",233.07
2013,12,0.97%,"28,377,862.53",233.05
2014,1,-0.13%,"28,340,961.12",233.92
2014,2,2.72%,"29,112,478.41",234.78
2014,3,0.20%,"29,171,205.26",236.29
2014,4,1.53%,"29,618,118.26",237.07
2014,5,3.20%,"30,564,807.45",237.9
2014,6,1.50%,"31,022,002.56",238.34
2014,7,-0.43%,"30,889,553.86",238.25
2014,8,1.78%,"31,438,780.58",237.85
2014,9,-2.65%,"30,606,726.94",238.03
2014,10,5.71%,"32,353,040.34",237.43
2014,11,0.63%,"32,558,122.28",236.15
2014,12,-1.11%,"32,196,712.28",234.81
2015,1,2.83%,"33,107,041.51",233.71
2015,2,0.06%,"33,125,370.71",234.72
2015,3,0.88%,"33,416,347.17",236.12
2015,4,0.98%,"33,743,461.10",236.6
2015,5,-0.44%,"33,596,508.31",237.81
2015,6,-0.08%,"33,569,755.37",238.64
2015,7,-2.42%,"32,755,891.06",238.65
2015,8,-4.51%,"31,279,551.77",238.32
2015,9,4.32%,"32,629,927.35",237.95
2015,10,2.93%,"33,586,790.16",237.84
2015,11,-1.10%,"33,216,337.99",237.34
2015,12,-6.42%,"31,083,974.73",236.53
2016,1,-0.55%,"30,913,041.13",236.92
2016,2,6.36%,"32,879,953.71",237.11
2016,3,2.83%,"33,810,870.77",238.13
2016,4,-0.30%,"33,707,962.23",239.26
2016,5,1.07%,"34,067,454.35",240.23
2016,6,3.30%,"35,190,807.86",241.02
2016,7,1.20%,"35,612,836.08",240.63
2016,8,-0.44%,"35,456,612.81",240.85
2016,9,-0.51%,"35,277,209.11",241.43
2016,10,1.20%,"35,700,945.03",241.73
2016,11,3.95%,"37,109,691.41",241.35
2016,12,1.44%,"37,643,193.22",241.43
2017,1,2.58%,"38,613,049.50",242.84
2017,2,1.75%,"39,288,490.93",243.6
2017,3,-0.15%,"39,227,985.04",243.8
2017,4,1.69%,"39,891,869.00",244.52
2017,5,1.78%,"40,600,519.30",244.73
2017,6,0.99%,"41,001,605.38",244.96
2017,7,0.25%,"41,103,209.51",244.79
2017,8,1.65%,"41,782,753.69",245.52
2017,9,2.73%,"42,925,428.07",246.82
2017,10,1.59%,"43,607,757.34",246.66
2017,11,2.88%,"44,865,181.05",246.67
2017,12,4.86%,"47,046,480.51",246.52
2018,1,-2.89%,"45,688,396.14",247.87
2018,2,0.06%,"45,717,900.90",248.99
2018,3,-1.66%,"44,957,167.87",249.55
2018,4,1.96%,"45,839,057.18",250.55
2018,5,2.11%,"46,807,622.59",251.59
2018,6,1.58%,"47,547,530.33",251.99
2018,7,2.45%,"48,712,827.55",252.01
2018,8,1.68%,"49,531,080.16",252.15
2018,9,-3.85%,"47,624,635.74",252.44
2018,10,-2.08%,"46,635,896.72",252.89
2018,11,-5.56%,"44,041,769.29",252.04
2018,12,1.74%,"44,806,174.27",251.23
2019,1,5.83%,"47,417,882.50",251.71
2019,2,1.95%,"48,341,593.27",252.78
2019,3,3.72%,"50,141,456.95",254.2
2019,4,-1.53%,"49,373,395.86",255.55
2019,5,1.40%,"50,066,968.23",256.09
2019,6,3.83%,"51,983,203.24",256.14
2019,7,-3.13%,"50,353,834.43",256.57
2019,8,3.09%,"51,907,364.75",256.56
2019,9,0.01%,"51,912,453.10",256.76
2019,10,4.43%,"54,214,091.49",257.35
2019,11,2.47%,"55,552,810.83",257.21
2019,12,3.35%,"57,411,828.70",256.97
2020,1,0.12%,"57,481,915.23",257.97
2020,2,-18.92%,"46,607,653.83",258.68
2020,3,4.32%,"48,620,458.65",258.12
2020,4,5.89%,"51,482,922.69",256.39
2020,5,6.51%,"54,833,571.26",256.39
2020,6,3.48%,"56,739,824.66",257.8
2020,7,5.89%,"60,083,788.98",259.1
2020,8,-0.63%,"59,707,062.04",259.92
2020,9,1.73%,"60,737,606.75",260.28
2020,10,3.95%,"63,139,242.53",260.39
2020,11,4.26%,"65,829,025.06",260.23
2020,12,2.80%,"67,669,143.64",260.47
2021,1,2.49%,"69,355,139.68",261.58
2021,2,0.82%,"69,924,793.44",263.01
2021,3,6.02%,"74,135,305.16",264.88
2021,4,0.76%,"74,698,905.12",267.05
2021,5,1.81%,"76,051,271.12",269.2
2021,6,3.07%,"78,384,677.34",271.7
2021,7,2.19%,"80,097,509.41",273
2021,8,-0.08%,"80,029,827.95",273.57
2021,9,0.45%,"80,391,703.68",274.31
2021,10,4.74%,"84,206,084.27",276.59
2021,11,0.27%,"84,429,570.28",277.95
2021,12,-2.05%,"82,697,115.27",278.8
2022,1,-2.90%,"80,296,773.73",281.15
2022,2,-0.89%,"79,580,057.89",283.72
2022,3,0.12%,"79,674,202.56",287.5
2022,4,-7.87%,"73,401,667.48",289.11
2022,5,-3.37%,"70,928,482.80",292.3
2022,6,0.46%,"71,258,077.06",296.31
2022,7,6.45%,"75,852,365.94",296.28
2022,8,-7.28%,"70,332,282.72",296.17
2022,9,-3.09%,"68,158,188.68",296.81
2022,10,5.29%,"71,760,413.16",298.01
2022,11,0.01%,"71,768,190.16",297.71
2022,12,1.38%,"72,756,047.94",296.8
2023,1,3.15%,"75,045,660.13",299.17
2023,2,-2.59%,"73,105,409.33",300.84
2023,3,4.00%,"76,026,863.26",301.84
2023,4,0.74%,"76,587,709.82",303.36
2023,5,4.94%,"80,372,817.43",304.13
2023,6,3.88%,"83,488,101.57",305.11
2023,7,-1.00%,"82,655,193.60",305.69
2023,8,-0.95%,"81,867,012.55",307.03
2023,9,-3.04%,"79,380,455.49",307.79
2023,10,4.60%,"83,033,324.74",307.67
2023,11,5.18%,"87,330,504.36",307.05
2023,12,2.91%,"89,873,426.13",306.75
2024,1,4.20%,"93,647,455.33",308.42
2024,2,3.28%,"96,721,077.22",310.33
2024,3,-1.01%,"95,745,037.58",312.33
2024,4,2.52%,"98,154,665.36",313.55
2024,5,3.55%,"101,639,729.32",314.07
2024,6,2.38%,"104,058,410.61",314.18
2024,7,-0.97%,"103,048,408.71",314.54
2024,8,2.72%,"105,853,500.39",314.8
2024,9,3.15%,"109,189,882.22",315.3
2024,10,4.40%,"113,993,640.86",315.66
