Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2010-03-01 00:00:00-05:00,0.4531525938760442,0.5716777229835942,0.4531525938760442,0.5574944019317627,561600000,0.0,0.0,0.0
2010-04-01 00:00:00-04:00,0.5637083542886463,0.6458494441867364,0.5439122981122916,0.5914735794067383,899980800,0.0,0.0,0.0
2010-05-01 00:00:00-04:00,0.5983893440069671,0.624550568738167,0.3407915922887958,0.4563097059726715,1723737600,0.0,0.0,0.0
2010-06-01 00:00:00-04:00,0.4514984030700115,0.5161980604498658,0.3671018252191684,0.3701598048210144,2168832000,0.0,0.0,0.0
2010-07-01 00:00:00-04:00,0.37221424729599756,0.47740855174997304,0.3451013860401173,0.4508470594882965,1507891200,0.0,0.0,0.0
2010-08-01 00:00:00-04:00,0.46753510560738537,0.4911406229749634,0.36785439731993747,0.3826881945133209,1259289600,0.0,0.0,0.0
2010-09-01 00:00:00-04:00,0.3974227551423806,0.5736318052434115,0.39687138628500906,0.5477718114852905,1126905600,0.0,0.0,0.0
2010-10-01 00:00:00-04:00,0.5606014054399117,0.6654954975316755,0.5186037587182296,0.6548705101013184,974150400,0.0,0.0,0.0
2010-11-01 00:00:00-04:00,0.6615358980817809,0.7256351042431733,0.6172827642745524,0.6454983353614807,1347801600,0.0,0.0,0.0
2010-12-01 00:00:00-05:00,0.6751179048864555,0.7610165452044207,0.674065236435458,0.741120457649231,975206400,0.0,0.0,0.0
2011-01-01 00:00:00-05:00,0.7608163004091989,0.8602468224961928,0.758610824476287,0.8004584312438965,1278796800,0.0,0.0,0.0
2011-02-01 00:00:00-05:00,0.8189015660342965,0.9353213255003613,0.8011599122772063,0.8736286759376526,1323033600,0.0,2.0,0.0
2011-03-01 00:00:00-05:00,0.8853553603149377,0.8982858474354236,0.6991235853952764,0.8530810475349426,1331020800,0.0,0.0,0.0
2011-04-01 00:00:00-04:00,0.8653092488756283,0.9344698031993057,0.7601649742396519,0.9262503981590271,746112000,0.0,0.0,0.0
2011-05-01 00:00:00-04:00,0.9302599184859096,0.9361738217771759,0.8044680129285856,0.8863579630851746,650995200,0.0,0.0,0.0
2011-06-01 00:00:00-04:00,0.880544056166134,0.8861577700908405,0.6836873702955211,0.8242139220237732,794803200,0.0,0.0,0.0
2011-07-01 00:00:00-04:00,0.826919748639073,0.9467977389550445,0.8144905906435146,0.8606979846954346,1106822400,0.0,0.0,0.0
